iter	Passed	Remaining
803	1223	298
804	1224	296
805	1225	294
806	1226	293
807	1226	291
808	1228	289
809	1229	288
810	1230	286
811	1231	285
812	1232	283
813	1233	281
814	1234	280
815	1235	278
816	1236	276
817	1236	275
818	1237	273
819	1238	271
820	1239	270
821	1240	268
822	1243	267
823	1244	265
824	1245	264
825	1246	262
826	1247	261
827	1248	259
828	1249	257
829	1250	256
830	1251	254
831	1252	252
832	1253	251
833	1254	249
834	1255	248
835	1257	246
836	1258	245
837	1259	243
838	1260	241
839	1260	240
840	1261	238
841	1262	236
842	1263	235
843	1264	233
844	1265	232
845	1266	230
846	1267	228
847	1268	227
848	1269	225
849	1272	224
850	1273	222
851	1274	221
852	1275	219
853	1276	218
854	1276	216
855	1277	214
856	1278	213
857	1279	211
858	1280	210
859	1281	208
860	1282	207
861	1283	205
862	1284	203
863	1286	202
864	1287	200
865	1288	199
866	1288	197
867	1289	196
868	1290	194
869	1291	192
870	1292	191
871	1293	189
872	1294	188
873	1295	186
874	1296	185
875	1296	183
876	1297	182
877	1298	180
878	1300	179
879	1301	177
880	1302	175
881	1303	174
882	1304	172
883	1305	171
884	1306	169
885	1307	168
886	1308	166
887	1309	165
888	1309	163
889	1310	162
890	1311	160
891	1312	158
892	1313	157
893	1315	155
894	1316	154
895	1317	152
896	1318	151
897	1319	149
898	1320	148
899	1321	146
900	1322	145
901	1323	143
902	1324	142
903	1325	140
904	1326	139
905	1327	137
906	1327	136
907	1329	134
908	1330	133
909	1331	131
910	1332	130
911	1333	128
912	1334	127
913	1335	125
914	1336	124
915	1337	122
916	1338	121
917	1339	119
918	1339	118
919	1340	116
920	1341	115
921	1342	113
922	1344	112
923	1345	110
924	1346	109
925	1347	107
926	1348	106
927	1349	104
928	1350	103
929	1351	101
930	1351	100
931	1352	98
932	1353	97
933	1354	95
934	1355	94
935	1356	92
936	1357	91
937	1358	89
938	1360	88
939	1360	86
940	1361	85
941	1362	83
942	1363	82
943	1364	80
944	1365	79
945	1366	77
946	1367	76
947	1368	75
948	1368	73
949	1369	72
950	1370	70
951	1371	69
952	1374	67
953	1375	66
954	1376	64
955	1377	63
956	1378	61
957	1379	60
958	1379	58
959	1380	57
960	1381	56
961	1382	54
962	1383	53
963	1384	51
964	1385	50
965	1386	48
966	1387	47
967	1389	45
968	1390	44
969	1390	43
970	1391	41
971	1392	40
972	1393	38
973	1394	37
974	1395	35
975	1397	34
976	1398	32
977	1399	31
978	1400	30
979	1401	28
980	1403	27
981	1404	25
982	1405	24
983	1406	22
984	1407	21
985	1408	20
986	1409	18
987	1410	17
988	1411	15
989	1412	14
990	1413	12
991	1413	11
992	1414	9
993	1415	8
994	1416	7
995	1418	5
996	1419	4
997	1420	2
998	1421	1
999	1422	0
